league_name,playoff_round,pick_number,manager,team_name,position,player_id,player_name,team_id,nhl_team_name,picked_at
The Gemmell Cup,2,33,nuttguy,56 Years and Counting,G,null,null,54,Vegas Golden Knights,2026-05-04 22:30:20.023384+00
The Gemmell Cup,2,34,bentunigold,BLT Sandwich - Chomp Chomp,G,null,null,12,Carolina Hurricanes,2026-05-04 22:30:28.26731+00
The Gemmell Cup,2,35,judah18,"Connor McJudah ",G,null,null,21,Colorado Avalanche,2026-05-04 22:30:36.065106+00
The Gemmell Cup,2,36,gemmell.levi,12 Bar Hughes,G,null,null,7,Buffalo Sabres,2026-05-04 22:30:44.980538+00
The Gemmell Cup,3,1,nuttguy,56 Years and Counting,G,null,null,21,Colorado Avalanche,2026-05-19 23:09:40.601175+00
The Gemmell Cup,3,2,bentunigold,BLT Sandwich - Chomp Chomp,G,null,null,12,Carolina Hurricanes,2026-05-19 23:10:14.870518+00
The Gemmell Cup,3,3,judah18,"Connor McJudah ",F,8477492,Nathan MacKinnon,null,null,2026-05-19 23:11:50.30397+00
The Gemmell Cup,3,4,gemmell.levi,12 Bar Hughes,G,null,null,8,Montréal Canadiens,2026-05-19 23:12:07.155789+00
The Gemmell Cup,3,5,gemmell.levi,12 Bar Hughes,F,8480039,Martin Necas,null,null,2026-05-19 23:12:33.464333+00
The Gemmell Cup,3,6,judah18,"Connor McJudah ",D,8480069,Cale Makar,null,null,2026-05-19 23:13:06.209237+00
The Gemmell Cup,3,7,bentunigold,BLT Sandwich - Chomp Chomp,F,8475791,Taylor Hall,null,null,2026-05-19 23:14:09.287438+00
The Gemmell Cup,3,8,nuttguy,56 Years and Counting,F,8476455,Gabriel Landeskog,null,null,2026-05-19 23:14:27.193512+00
The Gemmell Cup,3,9,nuttguy,56 Years and Counting,D,8478038,Devon Toews,null,null,2026-05-19 23:14:38.135607+00
The Gemmell Cup,3,10,bentunigold,BLT Sandwich - Chomp Chomp,D,8477447,Shea Theodore,null,null,2026-05-19 23:15:23.682474+00
The Gemmell Cup,3,11,judah18,"Connor McJudah ",F,8482809,Jackson Blake,null,null,2026-05-19 23:16:23.069557+00
The Gemmell Cup,3,12,gemmell.levi,12 Bar Hughes,D,8470613,Brent Burns,null,null,2026-05-19 23:16:28.612852+00
The Gemmell Cup,3,13,gemmell.levi,12 Bar Hughes,F,8475172,Nazem Kadri,null,null,2026-05-19 23:16:42.100466+00
The Gemmell Cup,3,14,judah18,"Connor McJudah ",F,8478427,Sebastian Aho,null,null,2026-05-19 23:18:18.579167+00
The Gemmell Cup,3,15,bentunigold,BLT Sandwich - Chomp Chomp,F,8478483,Mitch Marner,null,null,2026-05-19 23:18:35.095946+00
The Gemmell Cup,3,16,nuttguy,56 Years and Counting,F,8477476,Artturi Lehkonen,null,null,2026-05-19 23:19:17.219824+00
The Gemmell Cup,3,17,nuttguy,56 Years and Counting,F,8478462,Nicolas Roy,null,null,2026-05-19 23:19:52.930459+00
The Gemmell Cup,3,18,bentunigold,BLT Sandwich - Chomp Chomp,F,8482702,Logan Stankoven,null,null,2026-05-19 23:20:09.963645+00
The Gemmell Cup,3,19,judah18,"Connor McJudah ",D,8483457,Lane Hutson,null,null,2026-05-19 23:20:32.019544+00
The Gemmell Cup,3,20,gemmell.levi,12 Bar Hughes,F,8480018,Nick Suzuki,null,null,2026-05-19 23:21:48.781325+00
The Gemmell Cup,3,21,gemmell.levi,12 Bar Hughes,D,8476967,Brett Kulak,null,null,2026-05-19 23:23:09.204318+00
The Gemmell Cup,3,22,judah18,"Connor McJudah ",F,8473533,Jordan Staal,null,null,2026-05-19 23:23:30.687348+00
The Gemmell Cup,3,23,bentunigold,BLT Sandwich - Chomp Chomp,D,8480817,K'Andre Miller,null,null,2026-05-19 23:23:48.709676+00
The Gemmell Cup,3,24,nuttguy,56 Years and Counting,F,8480835,Jack Drury,null,null,2026-05-19 23:24:41.691545+00
The Gemmell Cup,3,25,nuttguy,56 Years and Counting,D,8484258,Sam Malinski,null,null,2026-05-19 23:25:04.059309+00
The Gemmell Cup,3,26,bentunigold,BLT Sandwich - Chomp Chomp,F,8478403,Jack Eichel,null,null,2026-05-19 23:25:27.408427+00
The Gemmell Cup,3,27,judah18,"Connor McJudah ",D,8480336,Sean Walker,null,null,2026-05-19 23:26:32.779055+00
The Gemmell Cup,3,28,gemmell.levi,12 Bar Hughes,F,8475754,Brock Nelson,null,null,2026-05-19 23:28:06.584709+00
The Gemmell Cup,3,29,gemmell.levi,12 Bar Hughes,F,8481540,Cole Caufield,null,null,2026-05-19 23:28:27.98117+00
The Gemmell Cup,3,30,judah18,"Connor McJudah ",F,8478133,Jake Evans,null,null,2026-05-19 23:29:35.922023+00
The Gemmell Cup,3,31,bentunigold,BLT Sandwich - Chomp Chomp,F,8482093,Seth Jarvis,null,null,2026-05-19 23:29:54.41038+00
The Gemmell Cup,3,32,nuttguy,56 Years and Counting,F,8480448,Parker Kelly,null,null,2026-05-19 23:30:27.392056+00
The Gemmell Cup,3,33,nuttguy,56 Years and Counting,D,8476312,Josh Manson,null,null,2026-05-19 23:30:46.444647+00
The Gemmell Cup,3,34,bentunigold,BLT Sandwich - Chomp Chomp,D,8482087,Kaiden Guhle,null,null,2026-05-19 23:31:48.439209+00
The Gemmell Cup,3,35,judah18,"Connor McJudah ",G,null,null,54,Vegas Golden Knights,2026-05-19 23:32:11.882425+00
The Gemmell Cup,3,36,gemmell.levi,12 Bar Hughes,D,8480865,Noah Dobson,null,null,2026-05-19 23:33:19.611072+00
