player_id,player_name,team_abbrev,position,expected_points,p10,p50,p90,pts_per_game,expected_games,availability_multiplier,injured,low_confidence,ir_stash_ev,ir_stash_value,ir_verdict
8482125,Alexander Holtz,VGK,F,1.41775,0.0,1.0,3.0,0.2474514015766161,5.706695440345301,1.0,False,False,,,
8484428,Charles Alexis Legault,CAR,D,1.39775,0.0,1.0,3.0,0.2492980937339487,5.706695440345301,1.0,False,False,,,
8481133,Cole Reinhardt,VGK,F,1.35975,0.0,1.0,3.0,0.2416441997697254,5.706695440345301,1.0,False,False,,,
8480762,Eric Robinson,CAR,F,1.34275,0.0,1.0,3.0,0.23510819542262118,5.706695440345301,1.0,False,False,,,
8476958,Jaccob Slavin,CAR,D,1.31075,0.0,1.0,3.0,0.2267244744152379,5.706695440345301,1.0,False,False,,,
8476422,Mike Reilly,CAR,D,1.30525,0.0,1.0,3.0,0.22645187418784835,5.706695440345301,1.0,False,False,,,
8475188,Brayden McNabb,VGK,D,1.30325,0.0,1.0,3.0,0.2216682092181857,5.706695440345301,1.0,False,False,,,
8480727,Zach Whitecloud,VGK,D,1.265,0.0,1.0,3.0,0.21867786408061965,5.706695440345301,1.0,False,False,,,
8476873,Mark Jankowski,CAR,F,1.236,0.0,1.0,3.0,0.21416279389907594,5.706695440345301,1.0,False,False,,,
8482911,Joel Nystrom,CAR,D,1.2015,0.0,1.0,3.0,0.21039790012842235,5.706695440345301,1.0,False,False,,,
8480829,Jesperi Kotkaniemi,CAR,F,1.152,0.0,1.0,3.0,0.19736780621196803,5.706695440345301,1.0,False,False,,,
8478434,Keegan Kolesar,VGK,F,1.13375,0.0,1.0,3.0,0.2024454274843046,5.706695440345301,1.0,False,False,,,
8477478,William Carrier,CAR,F,1.11875,0.0,1.0,3.0,0.19504900599578026,5.706695440345301,1.0,False,False,,,
8481527,Kaedan Korczak,VGK,D,1.07775,0.0,1.0,2.0,0.18778825410849412,5.706695440345301,1.0,False,False,,,
8478468,Jeremy Lauzon,VGK,D,0.95875,0.0,1.0,2.0,0.1674378864638474,5.706695440345301,1.0,False,False,,,
