team_id,team_abbrev,opponent_abbrev,is_top_seed,playoff_round,p_series_win,e_wins,e_games,e_goalie_points,e_shutout_wins
21,COL,LAK,True,1,0.8099952556584912,3.6328398837679154,5.542216034515377,8.240677068749827,0.4874986506069977
22,EDM,ANA,True,1,0.7097886504635643,3.4153582212747553,5.699656805899605,7.5374242001213965,0.353353878785943
7,BUF,BOS,True,1,0.6951535624098654,3.382259954471042,5.715859841226929,7.5281001843805635,0.38179013771923936
12,CAR,OTT,True,1,0.6060119147091777,3.1726934469040757,5.7856757216561325,6.971368598091437,0.3129908521416428
5,PIT,PHI,True,1,0.5502892879125119,3.0340862458695375,5.807038230719366,6.707952353820153,0.31988993104053925
25,DAL,MIN,True,1,0.5312363531739628,2.9851974310680274,5.810729070962489,6.620497576078559,0.32505135697125237
54,VGK,UTA,True,1,0.5292879184916777,2.9801523356988207,5.8110049401083925,6.578052966775167,0.30887414768876276
14,TBL,MTL,True,1,0.5005065443055956,2.904603364965655,5.812900182680094,6.41951063679622,0.30515195343245494
8,MTL,TBL,False,1,0.4994934556944044,2.908296817714442,5.812900182680094,6.418306772480549,0.3008565685258327
68,UTA,VGK,False,1,0.47071208150832233,2.8308526044095714,5.8110049401083925,6.260161004056046,0.299227897618452
30,MIN,DAL,False,1,0.4687636468260372,2.825531639894463,5.810729070962489,6.291210390961,0.3200735555860372
4,PHI,PIT,False,1,0.44971071208748814,2.7729519848498283,5.807038230719366,6.087876481726762,0.2709862560135528
9,OTT,CAR,False,1,0.3939880852908223,2.61298227475206,5.7856757216561325,5.733493240495586,0.2537643454957334
6,BOS,BUF,False,1,0.30484643759013463,2.333599886755888,5.715859841226929,5.1765809437493235,0.25469058511877374
24,ANA,EDM,False,1,0.2902113495364357,2.2842985846248465,5.699656805899605,4.984578127258515,0.2079904790044111
26,LAK,COL,False,1,0.19000474434150882,1.9093761507474676,5.542216034515377,4.220956165995269,0.20110193225016687
