player_id,player_name,team_abbrev,position,expected_points,p10,p50,p90,pts_per_game,expected_games,availability_multiplier,injured,low_confidence,ir_stash_ev,ir_stash_value,ir_verdict
8477492,Nathan MacKinnon,COL,F,12.3495,6.0,12.0,19.0,1.2481248100409361,9.877578677491544,1.0,False,False,,,
8480039,Martin Necas,COL,F,10.5875,5.0,10.0,17.0,1.057757080383773,9.877578677491544,1.0,False,False,,,
8480069,Cale Makar,COL,D,8.1725,3.0,8.0,13.0,0.8248958913943862,9.877578677491544,1.0,False,False,,,
8478427,Sebastian Aho,CAR,F,8.07225,3.0,8.0,13.0,0.8527991652191372,9.514765408400544,0.9999999999999998,False,False,,,
8482093,Seth Jarvis,CAR,F,7.43875,3.0,7.0,12.0,0.7799367887619804,9.514765408400544,0.9999999999999998,False,False,,,
8480018,Nick Suzuki,MTL,F,7.39625,3.0,7.0,13.0,0.9615344971317654,7.7636560613301695,1.0,False,False,,,
8478403,Jack Eichel,VGK,F,6.98025,3.0,6.0,12.0,0.9702762771869659,7.256719364242214,1.0,False,False,,,
8482809,Jackson Blake,CAR,F,6.794,3.0,6.0,11.0,0.7241724105608601,9.514765408400544,0.9999999999999998,False,False,,,
8478483,Mitch Marner,VGK,F,6.441,2.0,6.0,11.0,0.8951554392871074,7.256719364242214,1.0,False,False,,,
8480830,Andrei Svechnikov,CAR,F,6.32175,2.0,6.0,11.0,0.6660378174997016,9.514765408400544,0.9999999999999998,False,False,,,
8481540,Cole Caufield,MTL,F,6.2245,2.0,6.0,11.0,0.7979618266450907,7.7636560613301695,1.0,False,False,,,
8476455,Gabriel Landeskog,COL,F,6.2155,2.0,6.0,10.0,0.6356788687346164,9.877578677491544,1.0,False,False,,,
8477940,Nikolaj Ehlers,CAR,F,6.18275,2.0,6.0,11.0,0.6516456175001553,9.514765408400544,0.9999999999999998,False,False,,,
8483457,Lane Hutson,MTL,D,6.0285,2.0,5.0,11.0,0.7659389323099186,7.7636560613301695,1.0,False,False,,,
8475913,Mark Stone,VGK,F,5.689,2.0,5.0,10.0,0.7788168339564001,7.256719364242214,1.0,False,False,,,
8476906,Shayne Gostisbehere,CAR,D,5.67775,2.0,5.0,10.0,0.59600524012585,9.514765408400544,0.9999999999999998,False,False,,,
8475754,Brock Nelson,COL,F,5.631,2.0,5.0,10.0,0.5687420385625566,9.877578677491544,1.0,False,False,,,
8477476,Artturi Lehkonen,COL,F,5.58425,2.0,5.0,9.0,0.5666632731806989,9.877578677491544,1.0,False,False,,,
8482702,Logan Stankoven,CAR,F,5.5685,2.0,5.0,10.0,0.5821134650213964,9.514765408400544,0.9999999999999998,False,False,,,
8483515,Juraj Slafkovský,MTL,F,5.5475,2.0,5.0,10.0,0.7158893693107258,7.7636560613301695,1.0,False,False,,,
8476391,T.J. Tynan,COL,F,5.5115,2.0,5.0,9.0,0.5586323334539907,9.877578677491544,1.0,False,True,,,
8475791,Taylor Hall,CAR,F,5.30375,2.0,5.0,9.0,0.5532625230547774,9.514765408400544,0.9999999999999998,False,False,,,
8479718,Alex Barre-Boulet,COL,F,5.158,2.0,5.0,9.0,0.5324218688686734,9.877578677491544,1.0,False,True,,,
8477501,Valeri Nichushkin,COL,F,5.0855,2.0,5.0,9.0,0.5188206156278692,9.877578677491544,1.0,False,False,,,
8481604,Pavel Dorofeyev,VGK,F,5.06275,2.0,5.0,9.0,0.6963106048888013,7.256719364242214,1.0,False,False,,,
8483039,Tristen Nielsen,COL,F,4.56,1.0,4.0,8.0,0.4602766395389466,9.877578677491544,1.0,False,True,,,
8484255,Jason Polin,COL,F,4.4965,1.0,4.0,8.0,0.45730437483847586,9.877578677491544,1.0,False,True,,,
8484258,Sam Malinski,COL,D,4.406,1.0,4.0,8.0,0.444926184010641,9.877578677491544,1.0,False,False,,,
8484392,Felix Unger Sorum,CAR,F,4.14075,1.0,4.0,7.0,0.4318647895392219,9.514765408400544,0.9999999999999998,False,True,,,
