league_name,playoff_round,order_position,manager
The Gemmell Cup,2,2,bentunigold
The Gemmell Cup,2,3,judah18
The Gemmell Cup,2,4,gemmell.levi
The Gemmell Cup,2,5,gemmell.levi
The Gemmell Cup,2,6,judah18
The Gemmell Cup,2,7,bentunigold
The Gemmell Cup,2,8,nuttguy
The Gemmell Cup,2,9,nuttguy
The Gemmell Cup,2,10,bentunigold
The Gemmell Cup,2,11,judah18
The Gemmell Cup,2,12,gemmell.levi
The Gemmell Cup,2,13,gemmell.levi
The Gemmell Cup,2,14,judah18
The Gemmell Cup,2,15,bentunigold
The Gemmell Cup,2,16,nuttguy
The Gemmell Cup,2,17,nuttguy
The Gemmell Cup,2,18,bentunigold
The Gemmell Cup,2,19,judah18
The Gemmell Cup,2,20,gemmell.levi
The Gemmell Cup,2,21,gemmell.levi
The Gemmell Cup,2,22,judah18
The Gemmell Cup,2,23,bentunigold
The Gemmell Cup,2,24,nuttguy
The Gemmell Cup,2,25,nuttguy
The Gemmell Cup,2,26,bentunigold
The Gemmell Cup,2,27,judah18
The Gemmell Cup,2,28,gemmell.levi
The Gemmell Cup,2,29,gemmell.levi
The Gemmell Cup,2,30,judah18
The Gemmell Cup,2,31,bentunigold
The Gemmell Cup,2,32,nuttguy
The Gemmell Cup,2,33,nuttguy
The Gemmell Cup,2,34,bentunigold
The Gemmell Cup,2,35,judah18
The Gemmell Cup,2,36,gemmell.levi
The Gemmell Cup,3,1,nuttguy
The Gemmell Cup,3,2,bentunigold
The Gemmell Cup,3,3,judah18
The Gemmell Cup,3,4,gemmell.levi
The Gemmell Cup,3,5,gemmell.levi
The Gemmell Cup,3,6,judah18
The Gemmell Cup,3,7,bentunigold
The Gemmell Cup,3,8,nuttguy
The Gemmell Cup,3,9,nuttguy
The Gemmell Cup,3,10,bentunigold
The Gemmell Cup,3,11,judah18
The Gemmell Cup,3,12,gemmell.levi
The Gemmell Cup,3,13,gemmell.levi
The Gemmell Cup,3,14,judah18
The Gemmell Cup,3,15,bentunigold
The Gemmell Cup,3,16,nuttguy
The Gemmell Cup,3,17,nuttguy
The Gemmell Cup,3,18,bentunigold
The Gemmell Cup,3,19,judah18
The Gemmell Cup,3,20,gemmell.levi
The Gemmell Cup,3,21,gemmell.levi
The Gemmell Cup,3,22,judah18
The Gemmell Cup,3,23,bentunigold
The Gemmell Cup,3,24,nuttguy
The Gemmell Cup,3,25,nuttguy
The Gemmell Cup,3,26,bentunigold
The Gemmell Cup,3,27,judah18
The Gemmell Cup,3,28,gemmell.levi
The Gemmell Cup,3,29,gemmell.levi
The Gemmell Cup,3,30,judah18
The Gemmell Cup,3,31,bentunigold
The Gemmell Cup,3,32,nuttguy
The Gemmell Cup,3,33,nuttguy
The Gemmell Cup,3,34,bentunigold
The Gemmell Cup,3,35,judah18
The Gemmell Cup,3,36,gemmell.levi
