,,
,,
,,
,,
,,
,,
,,
,,
,,
2014,,Kings
2015,,Blackhawks
2016,,Penguins
2017,,Penguins
2018,Ben,Capitals
2019,Levi,St. Louis Blues
2020,Levi,Lighting
2021,Levi,Lighting
2022,Levi,Avalanche
2023,Kyle,Knights
2024,Levi,Panthers
2025,,
