league_name,playoff_round,manager,team_name,position,player_id,player_name,team_id,nhl_team_name,is_active,points_earned,activated_from_ir
Press Play-offs,3,nuttguy,56 Years and Counting,F,8482093,Seth Jarvis,null,null,true,4,false
Press Play-offs,3,nuttguy,56 Years and Counting,F,8482809,Jackson Blake,null,null,true,4,false
Press Play-offs,3,nuttguy,56 Years and Counting,G,null,null,12,Carolina Hurricanes,true,10,false
Press Play-offs,3,nuttguy,56 Years and Counting,IR_D,8476906,Shayne Gostisbehere,null,null,true,4,false
Press Play-offs,3,nuttguy,56 Years and Counting,IR_F,8477940,Nikolaj Ehlers,null,null,true,5,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,D,8476875,Mike Matheson,null,null,true,1,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,D,8478851,Alexandre Carrier,null,null,true,2,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,D,8482087,Kaiden Guhle,null,null,true,2,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,F,8478133,Jake Evans,null,null,true,2,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,F,8480074,Alexandre Texier,null,null,true,1,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,F,8481604,Pavel Dorofeyev,null,null,true,3,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,F,8483515,Juraj Slafkovský,null,null,true,3,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,F,8484984,Ivan Demidov,null,null,true,2,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,G,null,null,8,Montréal Canadiens,true,2,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,IR_D,8470613,Brent Burns,null,null,true,1,false
Press Play-offs,3,paul.markhauser,Canadian Bloody Knucks,IR_F,8477476,Artturi Lehkonen,null,null,true,0,false
Press Play-offs,4,Tobi,Frozen Assets,D,8475188,Brayden McNabb,null,null,true,6,false
Press Play-offs,4,Tobi,Frozen Assets,D,8476967,Brett Kulak,null,null,true,0,false
Press Play-offs,4,Tobi,Frozen Assets,D,8478396,Noah Hanifin,null,null,true,1,false
Press Play-offs,4,Tobi,Frozen Assets,F,8475913,Mark Stone,null,null,true,2,false
Press Play-offs,4,Tobi,Frozen Assets,F,8477964,Ivan Barbashev,null,null,true,2,false
Press Play-offs,4,Tobi,Frozen Assets,F,8478403,Jack Eichel,null,null,true,4,false
Press Play-offs,4,Tobi,Frozen Assets,F,8479353,Brett Howden,null,null,true,6,false
Press Play-offs,4,Tobi,Frozen Assets,F,8481540,Cole Caufield,null,null,true,0,false
Press Play-offs,4,Tobi,Frozen Assets,G,null,null,54,Vegas Golden Knights,true,4,false
Press Play-offs,4,Tobi,Frozen Assets,IR_D,8484258,Sam Malinski,null,null,true,0,false
Press Play-offs,4,Tobi,Frozen Assets,IR_F,8482737,Zachary Bolduc,null,null,true,0,false
Press Play-offs,4,connor.fehr,Rons team,D,8478038,Devon Toews,null,null,true,0,false
Press Play-offs,4,connor.fehr,Rons team,D,8480069,Cale Makar,null,null,true,0,false
Press Play-offs,4,connor.fehr,Rons team,D,8483457,Lane Hutson,null,null,true,0,false
Press Play-offs,4,connor.fehr,Rons team,F,8476455,Gabriel Landeskog,null,null,true,0,false
Press Play-offs,4,connor.fehr,Rons team,F,8477492,Nathan MacKinnon,null,null,true,0,false
Press Play-offs,4,connor.fehr,Rons team,F,8480018,Nick Suzuki,null,null,true,0,false
Press Play-offs,4,connor.fehr,Rons team,F,8481618,Alex Newhook,null,null,true,0,false
Press Play-offs,4,connor.fehr,Rons team,F,8482702,Logan Stankoven,null,null,true,4,false
Press Play-offs,4,connor.fehr,Rons team,G,null,null,21,Colorado Avalanche,true,0,false
Press Play-offs,4,connor.fehr,Rons team,IR_D,8477447,Shea Theodore,null,null,true,7,false
Press Play-offs,4,connor.fehr,Rons team,IR_F,8478483,Mitch Marner,null,null,true,8,false
Press Play-offs,4,nuttguy,56 Years and Counting,D,8476422,Mike Reilly,null,null,true,0,false
Press Play-offs,4,nuttguy,56 Years and Counting,D,8478970,Jalen Chatfield,null,null,true,3,false
Press Play-offs,4,nuttguy,56 Years and Counting,D,8480817,K'Andre Miller,null,null,true,1,false
Press Play-offs,4,nuttguy,56 Years and Counting,F,8475791,Taylor Hall,null,null,true,3,false
Press Play-offs,4,nuttguy,56 Years and Counting,F,8478427,Sebastian Aho,null,null,true,5,false
Press Play-offs,4,nuttguy,56 Years and Counting,F,8480039,Martin Necas,null,null,true,0,false
Press Play-offs,4,nuttguy,56 Years and Counting,F,8482093,Seth Jarvis,null,null,true,3,false
Press Play-offs,4,nuttguy,56 Years and Counting,F,8482809,Jackson Blake,null,null,true,5,false
Press Play-offs,4,nuttguy,56 Years and Counting,G,null,null,12,Carolina Hurricanes,true,10,false
Press Play-offs,4,nuttguy,56 Years and Counting,IR_D,8476906,Shayne Gostisbehere,null,null,true,6,false
Press Play-offs,4,nuttguy,56 Years and Counting,IR_F,8477940,Nikolaj Ehlers,null,null,true,9,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,D,8476875,Mike Matheson,null,null,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,D,8478851,Alexandre Carrier,null,null,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,D,8482087,Kaiden Guhle,null,null,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,F,8478133,Jake Evans,null,null,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,F,8480074,Alexandre Texier,null,null,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,F,8481604,Pavel Dorofeyev,null,null,true,2,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,F,8483515,Juraj Slafkovský,null,null,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,F,8484984,Ivan Demidov,null,null,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,G,null,null,8,Montréal Canadiens,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,IR_D,8470613,Brent Burns,null,null,true,0,false
Press Play-offs,4,paul.markhauser,Canadian Bloody Knucks,IR_F,8477476,Artturi Lehkonen,null,null,true,0,false
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,D,8478178,Darren Raddysh,null,null,true,2,false
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,D,8480069,Cale Makar,null,null,true,2,false
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,D,8480803,Evan Bouchard,null,null,true,7,false
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,F,8478864,Kirill Kaprizov,null,null,true,9,false
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,F,8480027,Jason Robertson,null,null,true,8,false
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,F,8481540,Cole Caufield,null,null,true,4,false
