,Position ,Player ,Team,Points for Round,Points when drafted,Current Total Points,,,Notes,Statistics,,
Ben,Forward 1,Connor McDavid,Oilers,6,11,17,,,Goalie points - 2 ponts per win + 2 for shutout,,,
,Forward 2,Sebastian Aho,Hurricanes,2,8,10,,,,,,
,Forward 3,Mark Scheifele,Jets,5,6,11,Dropped,,,,,
,Forward 4,Sam Reinhart,Panthers,5,6,11,,,Draft Order:,,,
,Forward 5,Andrei Svechnikov,Hurricanes,3,6,9,,,Judah,Ben,Levi,Kyle
,Defense 1,Shayne Gostisbehere,Hurricanes,3,4,7,,,,,,
,Defense 2,Nate Schmidt,Panthers,4,3,7,,,,,,
,Defense 3,Dylan DeMelo,Jets,2,2,4,,,,,,
,Goalie 1,Panthers,Panthers,10,0,10,,,,,,
,IR - F,Connor McMichael,Capitals,1,5,6,Activated,,,,,
,IR - D,Trevor van Riemsdyk,Capitals,0,2,2,,,,,,
,Total,,,88,,,,,,,,
Judah ,Forward 1,Leon Draisaitl,Oilers,6,10,16,,,,,,
,Forward 2,Matthew Tkachuk,Panthers,4,5,9,,,,,,
,Forward 3,Alex Ovechkin,Capitals,1,5,6,,,,,,
,Forward 4,Ryan Nugent-Hopkins,Oilers,4,5,9,,Last Updated,,,,
,Forward 5,Mark Stone,Knights,4,4,8,,5/12,,,,
,Defense 1,John Carlson,Capitals,2,1,3,,,,,,
,Defense 2,Seth Jones,Panthers,4,2,6,,Current Max,,,,
,Defense 3,Aaron Ekblad,Panthers,5,1,6,,100,,,,
,Goalie 1,Capitals,Capitals,2,0,2,,,,,,
,IR - F,Jamie Benn,Stars,1,2,3,,,,,,
,IR - D,Oliver Ekman-Larsson,Leafs,2,2,4,,,,,,
,Total,,,82,,,,Current Winner,,,,
Kyle ,Forward 1,Dylan Strome,Capitals,2,9,11,,Kyle ,,,,
,Forward 2,William Nylander,Leafs,6,9,15,,,,,,
,Forward 3,Mitch Marner,Leafs,5,8,13,,,,,,
,Forward 4,Roope Hintz,Stars,3,7,10,,,,,,
,Forward 5,Wyatt Johnston,Stars,1,7,8,,,,,,
,Defense 1,Evan Bouchard,Oilers,5,7,12,,,Statistics,,,
,Defense 2,Thomas Harley,Stars,6,5,11,,,,,,
,Defense 3,Jaccob Slavin,Hurricanes,1,3,4,,,,,,
,Goalie 1,Oilers,Oilers,12,0,12,,,,,,
,IR - F,Mason Appleton,Jets,1,6,7,,,,,,
,IR - D,Morgan Rielly,Leafs,4,3,7,,,,,,
,Total,,,100,,,,,Scoring,,,
Levi,Forward 1,Mikko Rantanen,Stars,7,12,19,,,Points = goals + assists.,,,
,Forward 2,Kyle Connor ,Jets,5,12,17,,,goalie is 2 points/win + 2 for shutouts,,,
,Forward 3,Auston Matthews,Leafs,4,7,11,,,,,,
,Forward 4,Jack Eichel,Knights,5,5,10,,,,,,
,Forward 5,Zach Hyman,Oilers,3,5,8,,,Teams Scored,,,
,Defense 1,Shea Theodore,Knights,1,4,5,,,,,,
,Defense 2,Josh Morrissey,Jets,3,3,6,Dropped,,,,,
,Defense 3,Jakob Chychrun,Capitals,2,3,5,,,Round 2 Point Potential per Series,,,
,Goalie 1,Stars,Stars,8,0,8,,,37.75,,,
,IR - F,Tom Wilson,Capitals,2,5,7,,,,,,
,IR - D,Alex Pietrangelo,Knights,3,3,6,Activated,,,,,
,Total,,,97,,,,,,,,
